company_no,company_name,cb_no,bond_type,bond_period,bond_category,publish_date,expire_date,publish_qty,remain_qty,basic_interest,interest_pay_type,interest_calc_count,interest_pay_count,credit_level,publish_location,back_flag,back_description,bond_short_name,announce_date,publish_length,publish_month,ipo,ensure,ensure_status,sell_back_date,sell_back_price,sell_broker,remain_change_date,remain_change_cause,currency,collect_method,convert_price,convert_start_date,convert_end_date,trustee
3698      ,隆達,36982          ,5,2         ,,20140109,20190109,2000000000,1998000000,0, ,0,0,        ,1,1,                                                                                ,隆達二                        ,20140109,5,0,2,2,                                                                                ,20170109,101.5075,凱基證券股份有限公司                                                            ,0,                                                            ,1,7,33,20140210,20181230,台新國際商業銀行股份有限公司信託部                
3702      ,大聯大,37021          ,5,1         ,,20140725,20170725,6000000000,6000000000,0, ,0,0,不適用  ,1,1,                                                                                ,大聯一                        ,20140725,3,0,2,2,                                                                                ,0,0,920T凱基證券                                                                    ,0,                                                            ,1,7,42.8,20140826,20170725,中國信託商業銀行股份有限公司                      
4107      ,邦特生技,41072          ,5,2         ,轉換公司債,20130926,20160926,160000000,79600000,0, ,0,0,        ,1,1,                                                                                ,邦特二                        ,20130926,3,0,2,2,                                                                                ,0,0,元大寶來證券股份有限公司                                                        ,0,本月可轉換公司債轉換41張                                    ,1,7,57,20131027,20160916,元大商業銀行股份有限公司                          
4109      ,穆拉德,41092          ,5,2         ,,20101217,20151217,210000000,17600000,0, ,0,0,        ,1,1,                                                                                ,加捷二                        ,20101217,5,0,2,1,華南商業銀行股份有限公司籬仔內分行                                              ,20141217,103.03,元富證券股份有限公司                                                            ,20140731,不適用                                                      ,1,7,23.43,20110118,20151207,兆豐國際商業銀行股份有限公司信託部                
4113      ,聯上,41133          ,5,3         ,,20131021,20181021,500000000,486900000,0, ,0,0,不適用  ,1,1,                                                                                ,聯上三                        ,20131021,5,0,2,2,                                                                                ,20151021,102.5156,台新綜合證券股份有限公司                                                        ,0,                                                            ,1,7,23.9,20131122,20181011,華泰商業銀行信託部                                
4114      ,健喬信元,41143          ,5,三        ,100-1     ,20110124,20160124,350000000,94500000,0, ,0,0,        ,1,1,                                                                                ,健喬三                        ,20110124,5,0,2,1,彰化商業銀行永春分行                                                            ,20140124,103.03,寶來證券股份有限公司                                                            ,20140731,轉換普通股                                                  ,1,7,35.55,20110225,20160114,兆豐國際商業銀行股份有限公司                      
4119      ,旭富製藥,41191          ,5,1         ,,20130809,20160809,600000000,599600000,0, ,0,0,        ,1,1,                                                                                ,旭富一                        ,20130809,3,0,2,2,                                                                                ,0,0,永豐金證券股份有限公司                                                          ,20131015,係公司債轉換                                                ,1,7,78,20130910,20160730,兆豐國際商業銀行股份有限公司信託部                
4129      ,聯合骨科,41291          ,5,1         ,,20130206,20160206,200000000,98200000,0, ,0,0,不適用  ,1,1,                                                                                ,聯骨一                        ,20130206,3,0,2,2,                                                                                ,20150206,101.0025,日盛證券股份有限公司                                                            ,0,                                                            ,1,7,41.8,20130307,20160127,合作金庫商業銀行股份有限公司                      
4138      ,曜亞國際,41381          ,5,1         ,,20110812,20140812,320000000,320000000,0, ,0,0,        ,1,1,                                                                                ,曜亞一                        ,20110812,3,0,2,1,兆豐國際商業銀行                                                                ,0,0,元富證券股份有限公司                                                            ,20110812,                                                            ,1,7,145.2,20110913,20140802,新光商業銀行信託部                                
4141      ,F - 龍燈,41411          ,5,1         ,轉換公司債,20130515,20180515,400000000,347200000,0, ,0,0,        ,1,1,                                                                                ,龍燈一                        ,20130515,5,0,2,2,                                                                                ,20150515,103.02,富邦綜合證券股份有限公司                                                        ,0,                                                            ,1,7,61.5,20130616,20180505,台北富邦商業銀行股份有限公司                      
4153      ,鈺緯,41531          ,5,1         ,,20131226,20161226,200000000,180700000,0, ,0,0,不適合  ,1,1,                                                                                ,鈺緯一                        ,20131226,3,0,2,1,合作金庫商業銀行股份有限公司                                                    ,20151226,102.1,群益金鼎證券股份有限公司                                                        ,0,                                                            ,1,7,50.7,20140127,20161216,日盛國際商業銀行股份有限公司                      
4161      ,聿新生技,41611          ,5,1         ,,20140117,20170117,250000000,177400000,0, ,0,0,        ,1,1,                                                                                ,聿新一                        ,20140117,3,0,2,1,華南商業銀行股份有限公司                                                        ,20160117,101,福邦證券、康和證券、第一金證券、華南永昌證券                                    ,0,                                                            ,1,7,65.5,20140218,20170107,第一商業銀行股份有限公司                          
4164      ,承業醫,41641          ,5,1         ,,20130731,20160731,1000000000,1000000000,0, ,0,0,        ,1,1,                                                                                ,承業一                        ,20130731,3,0,2,2,                                                                                ,20150731,102.01,永豐金證券股份有限公司                                                          ,0,                                                            ,1,7,82.5,20130901,20160721,台北富邦商業銀行股份有限公司                      
4170      ,鑫品生醫,YBU201         ,5,1         ,,20140714,20170714,150000000,150000000,0, ,0,0,        ,1,1,                                                                                ,鑫品一                        ,0,3,0,5,1,上海商業儲蓄銀行                                                                ,20150714,100,無                                                                              ,0,                                                            ,1,8,32.65,20140815,20170704,永豐商業銀行                                      
4181      ,百丹特,               ,5,102-1     ,,20140311,20190311,200000000,200000000,1, ,0,0,        ,1,1,                                                                                ,                              ,0,5,0,5,2,                                                                                ,0,0,無                                                                              ,0,                                                            ,1,8,17.5,20140411,20190301,無                                                
